## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2022-02-14T21:11:16.928Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Temperature data from 14 Jun 2019 - 1 Jan 2022, University of Victoria, Canada, Downloaded on 14 Feb 2022"  / Citation Title
#METADATF:  BaynesSoundMooring_5mbss_ConductivityTemperatureDepth_Temperature_20190614T000000Z_20220101T000000Z-NaN_clean_avg1day_CSV_META.pdf  / Metadata file name
#SEARCHID:  25055235                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-BaynesSound-BaynesSoundMooring-5mbss  / Station Name 
#STNCODE:   BSM.J1                               / Station Code 
#LATITUDE:     49.486885                         / Latitude North
#LONGITUDE:  -124.769333                         / Longitude East
#DEPTH:         5.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DEVCAT: Conductivity Temperature Depth          / Device Category
#DEVTOT:    4  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2019-06-13T21:05:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Sea-Bird SeaCAT SBE19plus V2 7787"   / Device Name of Device 1
#DEVCODE1:  SBECTD19p7787                        / Device Code of Device 1
#DEVID1:    24124                                / Device ID of Device 1
#
#DEPLDATE2: 2019-10-08T23:00:00.000Z             / Device 2 Deployment Date
#DEVNAME2: "Sea-Bird SeaCAT SBE19plus V2 7787"   / Device Name of Device 2
#DEVCODE2:  SBECTD19p7787                        / Device Code of Device 2
#DEVID2:    24124                                / Device ID of Device 2
#
#DEPLDATE3: 2021-07-15T19:21:00.000Z             / Device 3 Deployment Date
#DEVNAME3: "Sea-Bird SeaCAT SBE19plus V2 5270"   / Device Name of Device 3
#DEVCODE3:  SBECTD19p5270                        / Device Code of Device 3
#DEVID3:    23829                                / Device ID of Device 3
#
#DEPLDATE4: 2021-10-05T21:15:00.000Z             / Device 4 Deployment Date
#DEVNAME4: "Sea-Bird SeaCAT SBE19plus V2 5270"   / Device Name of Device 4
#DEVCODE4:  SBECTD19p5270                        / Device Code of Device 4
#DEVID4:    23829                                / Device ID of Device 4
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DATEFROM:  2019-06-14T00:00:00.000Z             / Data Start Time
#DATETO:    2022-01-01T00:00:00.000Z             / Data End Time
#PERIODTOT: 2                                    / Number of Sample Periods
#PERIODST1: 2017-04-07T23:42:09.000Z             / Sample Period 1 Start Time
#PERIOD1:   1                                    / Sensor Sample Period 1 (s)
#PERIODST2: 2021-06-02T00:00:00.000Z             / Sample Period 2 Start Time
#PERIOD2:   1                                    / Sensor Sample Period 2 (s)
#RESAMPPRD: 86400                                / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 876                                  / Samples in File
#TOTSMPEXP: 932                                  / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Temperature (C)", "Temperature QC Flag" , "Temperature Count"  
## END HEADER
2019-06-14T12:00:00.000Z, 18.811476025, 7, 79654
2019-06-15T12:00:00.000Z, 18.179319153, 7, 85525
2019-06-16T12:00:00.000Z, 17.071585471, 7, 85597
2019-06-17T12:00:00.000Z, 16.217215324, 7, 85532
2019-06-18T12:00:00.000Z, NaN, 6, 9456
2019-06-19T12:00:00.000Z, NaN, 9, 0
2019-06-20T12:00:00.000Z, NaN, 6, 3186
2019-06-21T12:00:00.000Z, 16.540549429, 7, 85084
2019-06-22T12:00:00.000Z, 16.000458398, 7, 85137
2019-06-23T12:00:00.000Z, 15.995987638, 7, 85037
2019-06-24T12:00:00.000Z, 15.428187463, 7, 85355
2019-06-25T12:00:00.000Z, 15.235164343, 7, 85385
2019-06-26T12:00:00.000Z, 15.021490291, 7, 85376
2019-06-27T12:00:00.000Z, 15.292080518, 7, 85152
2019-06-28T12:00:00.000Z, 13.256104656, 7, 85939
2019-06-29T12:00:00.000Z, 13.986347258, 7, 85767
2019-06-30T12:00:00.000Z, 14.164652848, 7, 85634
2019-07-01T12:00:00.000Z, 14.723554687, 7, 85338
2019-07-02T12:00:00.000Z, 15.479514497, 7, 84932
2019-07-03T12:00:00.000Z, 15.208645245, 7, 84863
2019-07-04T12:00:00.000Z, 14.741391779, 7, 85109
2019-07-05T12:00:00.000Z, 14.614916298, 7, 85132
2019-07-06T12:00:00.000Z, 14.526939149, 7, 85160
2019-07-07T12:00:00.000Z, 14.662061399, 7, 85124
2019-07-08T12:00:00.000Z, 14.604575225, 7, 85174
2019-07-09T12:00:00.000Z, 15.104706527, 7, 84834
2019-07-10T12:00:00.000Z, 15.683717027, 7, 84714
2019-07-11T12:00:00.000Z, 15.397257493, 7, 84852
2019-07-12T12:00:00.000Z, 16.032006501, 7, 84634
2019-07-13T12:00:00.000Z, 16.254389368, 7, 84775
2019-07-14T12:00:00.000Z, 16.761603307, 7, 84689
2019-07-15T12:00:00.000Z, 17.413830305, 7, 84825
2019-07-16T12:00:00.000Z, 17.43063389, 7, 84603
2019-07-17T12:00:00.000Z, 17.048650235, 7, 84995
2019-07-18T12:00:00.000Z, 15.555916529, 7, 85243
2019-07-19T12:00:00.000Z, 15.260875119, 7, 85365
2019-07-20T12:00:00.000Z, 15.158800704, 7, 85455
2019-07-21T12:00:00.000Z, 16.271572556, 7, 84854
2019-07-22T12:00:00.000Z, 16.671680771, 7, 84668
2019-07-23T12:00:00.000Z, 16.182966583, 7, 84853
2019-07-24T12:00:00.000Z, 15.741662163, 7, 85033
2019-07-25T12:00:00.000Z, 15.714338924, 7, 84946
2019-07-26T12:00:00.000Z, 15.981353094, 7, 84864
2019-07-27T12:00:00.000Z, 14.746329076, 7, 85478
2019-07-28T12:00:00.000Z, 15.794331769, 7, 85020
2019-07-29T12:00:00.000Z, 17.664721259, 7, 84946
2019-07-30T12:00:00.000Z, 18.552415665, 7, 84948
2019-07-31T12:00:00.000Z, 17.872952286, 7, 84797
2019-08-01T12:00:00.000Z, 16.939566741, 7, 84636
2019-08-02T12:00:00.000Z, 15.462221991, 7, 85372
2019-08-03T12:00:00.000Z, 15.171601268, 7, 85441
2019-08-04T12:00:00.000Z, 14.835289626, 7, 85529
2019-08-05T12:00:00.000Z, 14.554468575, 7, 85597
2019-08-06T12:00:00.000Z, 16.351966718, 7, 84680
2019-08-07T12:00:00.000Z, 17.310893512, 7, 84773
2019-08-08T12:00:00.000Z, 17.455462538, 7, 84815
2019-08-09T12:00:00.000Z, 16.491253653, 7, 85164
2019-08-10T12:00:00.000Z, 15.861802, 7, 84955
2019-08-11T12:00:00.000Z, 15.212594702, 7, 85341
2019-08-12T12:00:00.000Z, 15.172343644, 7, 85255
2019-08-13T12:00:00.000Z, 14.924038304, 7, 85320
2019-08-14T12:00:00.000Z, 15.434476332, 7, 84941
2019-08-15T12:00:00.000Z, 15.807674324, 7, 84752
2019-08-16T12:00:00.000Z, 16.906117873, 7, 84766
2019-08-17T12:00:00.000Z, 18.123333871, 7, 84790
2019-08-18T12:00:00.000Z, 18.028858246, 7, 84676
2019-08-19T12:00:00.000Z, 17.009777351, 7, 84900
