## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2022-01-28T17:53:03.251Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Temperature data from 14 Jun 2019 - 1 Jan 2022, University of Victoria, Canada, Downloaded on 28 Jan 2022"  / Citation Title
#METADATF:  BaynesSoundMooring_20mbss_ConductivityTemperatureDepth_Temperature_20190614T000000Z_20220101T000000Z-NaN_clean_avg1day_CSV_META.pdf  / Metadata file name
#SEARCHID:  24845992                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-BaynesSound-BaynesSoundMooring-20mbss  / Station Name 
#STNCODE:   BSM.J2                               / Station Code 
#LATITUDE:     49.486885                         / Latitude North
#LONGITUDE:  -124.769333                         / Longitude East
#DEPTH:        20.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Conductivity Temperature Depth          / Device Category
#DEVTOT:    5  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2019-06-13T20:35:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Sea-Bird SeaCAT SBE19plus V2 7770"   / Device Name of Device 1
#DEVCODE1:  SBECTD19p7770                        / Device Code of Device 1
#DEVID1:    24001                                / Device ID of Device 1
#
#DEPLDATE2: 2019-10-08T23:00:00.000Z             / Device 2 Deployment Date
#DEVNAME2: "Sea-Bird SeaCAT SBE19plus V2 7770"   / Device Name of Device 2
#DEVCODE2:  SBECTD19p7770                        / Device Code of Device 2
#DEVID2:    24001                                / Device ID of Device 2
#
#DEPLDATE3: 2021-05-04T22:30:00.000Z             / Device 3 Deployment Date
#DEVNAME3: "Sea-Bird SeaCAT SBE19plus V2 4998"   / Device Name of Device 3
#DEVCODE3:  SBECTD19p4998                        / Device Code of Device 3
#DEVID3:    23605                                / Device ID of Device 3
#
#DEPLDATE4: 2021-07-15T19:21:00.000Z             / Device 4 Deployment Date
#DEVNAME4: "Sea-Bird SeaCAT SBE19plus V2 4998"   / Device Name of Device 4
#DEVCODE4:  SBECTD19p4998                        / Device Code of Device 4
#DEVID4:    23605                                / Device ID of Device 4
#
#DEPLDATE5: 2021-10-05T21:15:00.000Z             / Device 5 Deployment Date
#DEVNAME5: "Sea-Bird SeaCAT SBE19plus V2 4998"   / Device Name of Device 5
#DEVCODE5:  SBECTD19p4998                        / Device Code of Device 5
#DEVID5:    23605                                / Device ID of Device 5
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2019-06-14T00:00:00.000Z             / Data Start Time
#DATETO:    2022-01-01T00:00:00.000Z             / Data End Time
#PERIODTOT: 2                                    / Number of Sample Periods
#PERIODST1: 2017-11-10T00:00:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   1                                    / Sensor Sample Period 1 (s)
#PERIODST2: 2021-04-16T00:00:00.000Z             / Sample Period 2 Start Time
#PERIOD2:   1                                    / Sensor Sample Period 2 (s)
#RESAMPPRD: 86400                                / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 829                                  / Samples in File
#TOTSMPEXP: 932                                  / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Temperature (C)", "Temperature QC Flag" , "Temperature Count"  
## END HEADER
2019-06-14T12:00:00.000Z, 12.284852677, 7, 79653
2019-06-15T12:00:00.000Z, 12.068644472, 7, 84657
2019-06-16T12:00:00.000Z, 11.891417087, 7, 84575
2019-06-17T12:00:00.000Z, 11.555776138, 7, 84468
2019-06-18T12:00:00.000Z, NaN, 6, 9345
2019-06-19T12:00:00.000Z, NaN, 9, 0
2019-06-20T12:00:00.000Z, NaN, 6, 2476
2019-06-21T12:00:00.000Z, 12.085207895, 7, 82627
2019-06-22T12:00:00.000Z, 11.883378614, 7, 84141
2019-06-23T12:00:00.000Z, 11.704583373, 7, 84460
2019-06-24T12:00:00.000Z, 11.479546595, 7, 84436
2019-06-25T12:00:00.000Z, 11.330148333, 7, 84462
2019-06-26T12:00:00.000Z, 11.267360112, 7, 84492
2019-06-27T12:00:00.000Z, 11.247328221, 7, 84500
2019-06-28T12:00:00.000Z, 11.103405202, 7, 84566
2019-06-29T12:00:00.000Z, 11.196026211, 7, 84528
2019-06-30T12:00:00.000Z, 11.184715632, 7, 84533
2019-07-01T12:00:00.000Z, 11.33919024, 7, 84502
2019-07-02T12:00:00.000Z, 11.499532326, 7, 84464
2019-07-03T12:00:00.000Z, 11.608677098, 7, 84465
2019-07-04T12:00:00.000Z, 11.649437585, 7, 84431
2019-07-05T12:00:00.000Z, 11.831060192, 7, 84592
2019-07-06T12:00:00.000Z, 11.890729138, 7, 84839
2019-07-07T12:00:00.000Z, 12.105006177, 7, 85593
2019-07-08T12:00:00.000Z, 12.149865741, 7, 85846
2019-07-09T12:00:00.000Z, 12.344111895, 7, 85590
2019-07-10T12:00:00.000Z, 12.666534548, 7, 85310
2019-07-11T12:00:00.000Z, 12.403677172, 7, 85368
2019-07-12T12:00:00.000Z, 12.456241587, 7, 84849
2019-07-13T12:00:00.000Z, 12.935093565, 7, 84974
2019-07-14T12:00:00.000Z, 13.170051811, 7, 84910
2019-07-15T12:00:00.000Z, 13.191493863, 7, 84869
2019-07-16T12:00:00.000Z, 13.140312804, 7, 84819
2019-07-17T12:00:00.000Z, 12.852868548, 7, 84636
2019-07-18T12:00:00.000Z, 12.649920813, 7, 84491
2019-07-19T12:00:00.000Z, 12.234255723, 7, 84380
2019-07-20T12:00:00.000Z, 12.597155872, 7, 84516
2019-07-21T12:00:00.000Z, 12.659192217, 7, 84567
2019-07-22T12:00:00.000Z, 12.445570909, 7, 84488
2019-07-23T12:00:00.000Z, 12.314398154, 7, 84418
2019-07-24T12:00:00.000Z, 12.249260042, 7, 84388
2019-07-25T12:00:00.000Z, 12.344607338, 7, 84407
2019-07-26T12:00:00.000Z, 12.283084784, 7, 84389
2019-07-27T12:00:00.000Z, 11.865183276, 7, 84383
2019-07-28T12:00:00.000Z, 12.193825062, 7, 84507
2019-07-29T12:00:00.000Z, 12.588996058, 7, 84703
2019-07-30T12:00:00.000Z, 12.466025231, 7, 84651
2019-07-31T12:00:00.000Z, 12.535318122, 7, 84665
2019-08-01T12:00:00.000Z, 12.264035251, 7, 84593
2019-08-02T12:00:00.000Z, 11.991560874, 7, 84479
2019-08-03T12:00:00.000Z, 11.959976108, 7, 84468
2019-08-04T12:00:00.000Z, 11.845660271, 7, 84492
2019-08-05T12:00:00.000Z, 12.25398903, 7, 84614
2019-08-06T12:00:00.000Z, 12.574981012, 7, 84663
2019-08-07T12:00:00.000Z, 12.400640489, 7, 84608
2019-08-08T12:00:00.000Z, 12.280701326, 7, 84151
2019-08-09T12:00:00.000Z, 12.237505731, 7, 84617
2019-08-10T12:00:00.000Z, 12.049835097, 7, 84500
2019-08-11T12:00:00.000Z, 12.008641698, 7, 84454
2019-08-12T12:00:00.000Z, 12.171517337, 7, 84570
2019-08-13T12:00:00.000Z, 12.188041628, 7, 84471
2019-08-14T12:00:00.000Z, 12.236224651, 7, 84574
2019-08-15T12:00:00.000Z, 12.488877729, 7, 84635
2019-08-16T12:00:00.000Z, 12.743450534, 7, 84716
2019-08-17T12:00:00.000Z, 12.997170108, 7, 84818
2019-08-18T12:00:00.000Z, 12.994749849, 7, 84808
2019-08-19T12:00:00.000Z, 12.59977803, 7, 84620
2019-08-20T12:00:00.000Z, 12.216059017, 7, 84479
2019-08-21T12:00:00.000Z, 12.079083779, 7, 84450
2019-08-22T12:00:00.000Z, 12.028086676, 7, 84456
2019-08-23T12:00:00.000Z, 12.114560315, 7, 84492
